#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Button Down,Button Up,Host Connected,End of File
1,05/03/2023 02:39:36,15.10,,,,
2,05/03/2023 02:49:36,13.55,,,,
3,05/03/2023 02:59:36,11.37,,,,
4,05/03/2023 03:09:36,11.71,,,,
5,05/03/2023 03:19:36,11.88,,,,
6,05/03/2023 03:29:36,11.84,,,,
7,05/03/2023 03:39:36,11.84,,,,
8,05/03/2023 03:49:36,11.84,,,,
9,05/03/2023 03:59:36,11.79,,,,
10,05/03/2023 04:09:36,11.75,,,,
11,05/03/2023 04:19:36,11.67,,,,
12,05/03/2023 04:29:36,11.54,,,,
13,05/03/2023 04:39:36,11.58,,,,
14,05/03/2023 04:49:36,11.41,,,,
15,05/03/2023 04:59:36,11.11,,,,
16,05/03/2023 05:09:36,10.98,,,,
17,05/03/2023 05:19:36,11.41,,,,
18,05/03/2023 05:29:36,11.19,,,,
19,05/03/2023 05:39:36,10.64,,,,
20,05/03/2023 05:49:36,10.64,,,,
21,05/03/2023 05:59:36,10.89,,,,
22,05/03/2023 06:09:36,11.37,,,,
23,05/03/2023 06:19:36,11.49,,,,
24,05/03/2023 06:29:36,12.44,,,,
25,05/03/2023 06:37:20,,Logged,,,
26,05/03/2023 06:39:36,10.89,,,,
27,05/03/2023 06:49:36,9.65,,,,
28,05/03/2023 06:59:36,9.65,,,,
29,05/03/2023 07:09:36,9.61,,,,
30,05/03/2023 07:19:36,9.65,,,,
31,05/03/2023 07:29:36,9.65,,,,
32,05/03/2023 07:39:36,9.65,,,,
33,05/03/2023 07:49:36,9.65,,,,
34,05/03/2023 07:59:36,9.65,,,,
35,05/03/2023 08:09:36,9.61,,,,
36,05/03/2023 08:19:36,9.61,,,,
37,05/03/2023 08:29:36,9.65,,,,
38,05/03/2023 08:39:36,9.74,,,,
39,05/03/2023 08:49:36,9.74,,,,
40,05/03/2023 08:59:36,9.82,,,,
41,05/03/2023 09:09:36,9.82,,,,
42,05/03/2023 09:19:36,9.86,,,,
43,05/03/2023 09:29:36,9.86,,,,
44,05/03/2023 09:39:36,9.91,,,,
45,05/03/2023 09:49:36,9.91,,,,
46,05/03/2023 09:59:36,9.95,,,,
47,05/03/2023 10:09:36,9.95,,,,
48,05/03/2023 10:19:36,9.95,,,,
49,05/03/2023 10:29:36,9.95,,,,
50,05/03/2023 10:39:36,9.95,,,,
51,05/03/2023 10:49:36,9.99,,,,
52,05/03/2023 10:59:36,9.99,,,,
53,05/03/2023 11:09:36,9.99,,,,
54,05/03/2023 11:19:36,9.95,,,,
55,05/03/2023 11:29:36,9.99,,,,
56,05/03/2023 11:39:36,9.91,,,,
57,05/03/2023 11:49:36,10.04,,,,
58,05/03/2023 11:59:36,9.99,,,,
59,05/03/2023 12:09:36,9.99,,,,
60,05/03/2023 12:19:36,10.04,,,,
61,05/03/2023 12:29:36,9.95,,,,
62,05/03/2023 12:39:36,9.99,,,,
63,05/03/2023 12:49:36,9.91,,,,
64,05/03/2023 12:59:36,9.86,,,,
65,05/03/2023 13:09:36,9.86,,,,
66,05/03/2023 13:19:36,9.82,,,,
67,05/03/2023 13:29:36,9.82,,,,
68,05/03/2023 13:39:36,9.78,,,,
69,05/03/2023 13:49:36,9.78,,,,
70,05/03/2023 13:59:36,9.61,,,,
71,05/03/2023 14:09:36,9.61,,,,
72,05/03/2023 14:19:36,9.56,,,,
73,05/03/2023 14:29:36,9.52,,,,
74,05/03/2023 14:39:36,9.48,,,,
75,05/03/2023 14:49:36,9.44,,,,
76,05/03/2023 14:59:36,9.48,,,,
77,05/03/2023 15:09:36,9.44,,,,
78,05/03/2023 15:19:36,9.39,,,,
79,05/03/2023 15:29:36,9.44,,,,
80,05/03/2023 15:39:36,9.35,,,,
81,05/03/2023 15:49:36,9.39,,,,
82,05/03/2023 15:59:36,9.35,,,,
83,05/03/2023 16:09:36,9.35,,,,
84,05/03/2023 16:19:36,9.39,,,,
85,05/03/2023 16:29:36,9.39,,,,
86,05/03/2023 16:39:36,9.35,,,,
87,05/03/2023 16:49:36,9.39,,,,
88,05/03/2023 16:59:36,9.35,,,,
89,05/03/2023 17:09:36,9.39,,,,
90,05/03/2023 17:19:36,9.39,,,,
91,05/03/2023 17:29:36,9.44,,,,
92,05/03/2023 17:39:36,9.44,,,,
93,05/03/2023 17:49:36,9.44,,,,
94,05/03/2023 17:59:36,9.44,,,,
95,05/03/2023 18:09:36,9.44,,,,
96,05/03/2023 18:19:36,9.52,,,,
97,05/03/2023 18:29:36,9.52,,,,
98,05/03/2023 18:39:36,9.48,,,,
99,05/03/2023 18:49:36,9.44,,,,
100,05/03/2023 18:59:36,9.48,,,,
101,05/03/2023 19:09:36,9.48,,,,
102,05/03/2023 19:19:36,9.52,,,,
103,05/03/2023 19:29:36,9.52,,,,
104,05/03/2023 19:39:36,9.56,,,,
105,05/03/2023 19:49:36,9.61,,,,
106,05/03/2023 19:59:36,9.56,,,,
107,05/03/2023 20:09:36,9.65,,,,
108,05/03/2023 20:19:36,9.65,,,,
109,05/03/2023 20:29:36,9.61,,,,
110,05/03/2023 20:39:36,9.61,,,,
111,05/03/2023 20:49:36,9.69,,,,
112,05/03/2023 20:59:36,9.69,,,,
113,05/03/2023 21:09:36,9.69,,,,
114,05/03/2023 21:19:36,9.78,,,,
115,05/03/2023 21:29:36,9.82,,,,
116,05/03/2023 21:39:36,9.82,,,,
117,05/03/2023 21:49:36,9.82,,,,
118,05/03/2023 21:59:36,9.82,,,,
119,05/03/2023 22:09:36,9.78,,,,
120,05/03/2023 22:19:36,9.82,,,,
121,05/03/2023 22:29:36,9.82,,,,
122,05/03/2023 22:39:36,9.86,,,,
123,05/03/2023 22:49:36,9.82,,,,
124,05/03/2023 22:59:36,9.86,,,,
125,05/03/2023 23:09:36,9.91,,,,
126,05/03/2023 23:19:36,9.91,,,,
127,05/03/2023 23:29:36,9.91,,,,
128,05/03/2023 23:39:36,9.86,,,,
129,05/03/2023 23:49:36,9.86,,,,
130,05/03/2023 23:59:36,9.86,,,,
131,05/04/2023 00:09:36,9.91,,,,
132,05/04/2023 00:19:36,9.86,,,,
133,05/04/2023 00:29:36,9.86,,,,
134,05/04/2023 00:39:36,9.86,,,,
135,05/04/2023 00:49:36,9.91,,,,
136,05/04/2023 00:59:36,9.86,,,,
137,05/04/2023 01:09:36,9.82,,,,
138,05/04/2023 01:19:36,9.74,,,,
139,05/04/2023 01:29:36,9.65,,,,
140,05/04/2023 01:39:36,9.61,,,,
