#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Button Down,Button Up,Host Connected,End of File
137,06/07/2023 01:07:51,16.21,,,,
138,06/07/2023 01:17:51,16.21,,,,
139,06/07/2023 01:27:51,16.21,,,,
140,06/07/2023 01:37:51,16.21,,,,
141,06/07/2023 01:47:51,16.21,,,,
142,06/07/2023 01:57:51,16.21,,,,
143,06/07/2023 02:07:51,16.26,,,,
144,06/07/2023 02:17:51,16.26,,,,
145,06/07/2023 02:27:51,16.21,,,,
146,06/07/2023 02:37:51,16.26,,,,
147,06/07/2023 02:47:51,16.26,,,,
148,06/07/2023 02:57:51,16.21,,,,
149,06/07/2023 03:07:51,16.26,,,,
150,06/07/2023 03:17:51,16.26,,,,
151,06/07/2023 03:27:51,16.26,,,,
152,06/07/2023 03:37:51,16.30,,,,
153,06/07/2023 03:47:51,16.26,,,,
154,06/07/2023 03:57:51,16.26,,,,
155,06/07/2023 04:07:51,16.26,,,,
156,06/07/2023 04:17:51,16.30,,,,
157,06/07/2023 04:27:51,16.30,,,,
158,06/07/2023 04:37:51,16.26,,,,
159,06/07/2023 04:47:51,16.30,,,,
160,06/07/2023 04:57:51,16.26,,,,
161,06/07/2023 05:06:01,,,Logged,,
162,06/07/2023 05:07:51,16.51,,,,
163,06/07/2023 05:17:51,16.26,,,,
164,06/07/2023 05:27:51,16.39,,,,
165,06/07/2023 05:37:51,16.60,,,,
166,06/07/2023 05:47:51,22.09,,,,
167,06/07/2023 05:57:51,21.32,,,,
168,06/07/2023 06:07:51,20.76,,,,
169,06/07/2023 06:17:51,20.46,,,,
170,06/07/2023 06:27:51,20.33,,,,
171,06/07/2023 06:37:51,20.25,,,,
172,06/07/2023 06:47:51,20.25,,,,
173,06/07/2023 06:57:51,20.25,,,,
174,06/07/2023 07:07:51,20.33,,,,
175,06/07/2023 07:17:51,20.25,,,,
176,06/07/2023 07:27:51,20.25,,,,
177,06/07/2023 07:37:51,20.25,,,,
178,06/07/2023 07:47:51,20.25,,,,
179,06/07/2023 07:57:51,20.33,,,,
180,06/07/2023 08:07:51,20.29,,,,
181,06/07/2023 08:17:51,20.37,,,,
182,06/07/2023 08:27:51,20.33,,,,
183,06/07/2023 08:37:51,20.42,,,,
184,06/07/2023 08:47:51,20.37,,,,
185,06/07/2023 08:57:51,20.37,,,,
186,06/07/2023 09:07:51,20.42,,,,
187,06/07/2023 09:17:51,20.37,,,,
188,06/07/2023 09:27:51,20.33,,,,
189,06/07/2023 09:37:51,20.37,,,,
190,06/07/2023 09:47:51,20.42,,,,
191,06/07/2023 09:57:51,20.59,,,,
192,06/07/2023 10:07:51,20.42,,,,
193,06/07/2023 10:17:51,20.76,,,,
194,06/07/2023 10:27:51,21.53,,,,
195,06/07/2023 10:37:51,21.53,,,,
196,06/07/2023 10:47:51,20.93,,,,
197,06/07/2023 10:57:51,20.85,,,,
198,06/07/2023 11:07:51,20.80,,,,
199,06/07/2023 11:17:51,20.72,,,,
200,06/07/2023 11:27:51,20.68,,,,
201,06/07/2023 11:37:51,20.72,,,,
202,06/07/2023 11:47:51,20.68,,,,
203,06/07/2023 11:57:51,20.72,,,,
204,06/07/2023 12:07:51,20.76,,,,
205,06/07/2023 12:17:51,22.18,,,,
206,06/07/2023 12:27:51,24.88,,,,
207,06/07/2023 12:37:51,27.15,,,,
208,06/07/2023 12:47:51,28.74,,,,
209,06/07/2023 12:57:51,29.43,,,,
210,06/07/2023 13:07:51,30.03,,,,
211,06/07/2023 13:17:51,30.07,,,,
212,06/07/2023 13:27:51,29.77,,,,
213,06/07/2023 13:37:51,29.51,,,,
214,06/07/2023 13:47:51,29.30,,,,
215,06/07/2023 13:57:51,29.17,,,,
216,06/07/2023 14:07:51,28.78,,,,
217,06/07/2023 14:17:51,28.53,,,,
218,06/07/2023 14:27:51,28.35,,,,
219,06/07/2023 14:37:51,28.27,,,,
220,06/07/2023 14:47:51,28.27,,,,
221,06/07/2023 14:57:51,28.31,,,,
222,06/07/2023 15:07:51,28.31,,,,
223,06/07/2023 15:17:51,28.27,,,,
224,06/07/2023 15:27:51,28.23,,,,
225,06/07/2023 15:37:51,28.18,,,,
226,06/07/2023 15:47:51,28.23,,,,
227,06/07/2023 15:57:51,28.27,,,,
228,06/07/2023 16:07:51,28.35,,,,
229,06/07/2023 16:17:51,28.53,,,,
230,06/07/2023 16:27:51,28.87,,,,
231,06/07/2023 16:37:51,29.21,,,,
232,06/07/2023 16:47:51,29.51,,,,
233,06/07/2023 16:57:51,29.73,,,,
234,06/07/2023 17:07:51,29.64,,,,
235,06/07/2023 17:17:51,29.47,,,,
236,06/07/2023 17:27:51,29.26,,,,
237,06/07/2023 17:37:51,29.08,,,,
238,06/07/2023 17:47:51,29.04,,,,
239,06/07/2023 17:57:51,29.08,,,,
240,06/07/2023 18:07:51,29.00,,,,
241,06/07/2023 18:17:51,28.74,,,,
242,06/07/2023 18:27:51,28.53,,,,
243,06/07/2023 18:37:51,28.18,,,,
244,06/07/2023 18:47:51,28.01,,,,
245,06/07/2023 18:57:51,27.80,,,,
246,06/07/2023 19:07:51,27.32,,,,
247,06/07/2023 19:17:51,26.47,,,,
248,06/07/2023 19:27:51,25.87,,,,
249,06/07/2023 19:37:51,25.48,,,,
250,06/07/2023 19:47:51,25.27,,,,
251,06/07/2023 19:57:51,25.22,,,,
252,06/07/2023 20:07:51,25.35,,,,
253,06/07/2023 20:17:51,25.48,,,,
254,06/07/2023 20:27:51,25.48,,,,
255,06/07/2023 20:37:51,25.44,,,,
256,06/07/2023 20:47:51,25.35,,,,
257,06/07/2023 20:57:51,25.31,,,,
258,06/07/2023 21:07:51,25.27,,,,
259,06/07/2023 21:17:51,25.22,,,,
260,06/07/2023 21:27:51,25.18,,,,
261,06/07/2023 21:37:51,25.01,,,,
262,06/07/2023 21:47:51,24.88,,,,
263,06/07/2023 21:57:51,24.84,,,,
264,06/07/2023 22:07:51,24.58,,,,
265,06/07/2023 22:17:51,24.15,,,,
266,06/07/2023 22:27:51,23.68,,,,
267,06/07/2023 22:37:51,23.29,,,,
268,06/07/2023 22:47:51,22.99,,,,
269,06/07/2023 22:57:51,22.73,,,,
270,06/07/2023 23:07:51,22.61,,,,
271,06/07/2023 23:17:51,22.56,,,,
272,06/07/2023 23:27:51,22.48,,,,
273,06/07/2023 23:37:51,22.39,,,,
274,06/07/2023 23:47:51,22.35,,,,
275,06/07/2023 23:57:51,22.31,,,,
276,06/08/2023 00:07:51,22.26,,,,
277,06/08/2023 00:17:51,22.22,,,,
278,06/08/2023 00:27:51,22.13,,,,
