#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Button Down,Button Up,Host Connected,End of File
1,06/06/2023 02:38:57,18.19,,,,
2,06/06/2023 02:48:57,16.04,,,,
3,06/06/2023 02:58:57,14.84,,,,
4,06/06/2023 03:08:57,15.36,,,,
5,06/06/2023 03:18:57,16.08,,,,
6,06/06/2023 03:28:57,16.69,,,,
7,06/06/2023 03:38:57,16.90,,,,
8,06/06/2023 03:48:57,17.24,,,,
9,06/06/2023 03:58:57,17.37,,,,
10,06/06/2023 04:08:57,17.41,,,,
11,06/06/2023 04:18:57,17.50,,,,
12,06/06/2023 04:28:57,17.37,,,,
13,06/06/2023 04:38:57,17.11,,,,
14,06/06/2023 04:48:57,17.20,,,,
15,06/06/2023 04:58:57,17.20,,,,
16,06/06/2023 05:08:57,17.07,,,,
17,06/06/2023 05:18:57,16.86,,,,
18,06/06/2023 05:28:57,16.86,,,,
19,06/06/2023 05:38:57,16.77,,,,
20,06/06/2023 05:48:57,17.11,,,,
21,06/06/2023 05:58:57,17.29,,,,
22,06/06/2023 06:08:57,17.50,,,,
23,06/06/2023 06:18:57,17.41,,,,
24,06/06/2023 06:28:57,17.33,,,,
25,06/06/2023 06:38:57,17.33,,,,
26,06/06/2023 06:48:57,17.33,,,,
27,06/06/2023 06:58:57,17.84,,,,
28,06/06/2023 07:08:57,17.63,,,,
29,06/06/2023 07:18:57,18.06,,,,
30,06/06/2023 07:28:57,19.35,,,,
31,06/06/2023 07:38:57,20.29,,,,
32,06/06/2023 07:48:57,20.03,,,,
33,06/06/2023 07:58:57,19.43,,,,
34,06/06/2023 08:08:57,19.30,,,,
35,06/06/2023 08:18:57,19.95,,,,
36,06/06/2023 08:28:57,21.23,,,,
37,06/06/2023 08:38:57,21.92,,,,
38,06/06/2023 08:40:22,,Logged,,,
39,06/06/2023 08:48:57,16.13,,,,
40,06/06/2023 08:58:57,16.00,,,,
41,06/06/2023 09:08:57,16.00,,,,
42,06/06/2023 09:18:57,16.00,,,,
43,06/06/2023 09:28:57,16.00,,,,
44,06/06/2023 09:38:57,15.96,,,,
45,06/06/2023 09:48:57,16.00,,,,
46,06/06/2023 09:58:57,15.96,,,,
47,06/06/2023 10:08:57,15.96,,,,
48,06/06/2023 10:18:57,16.04,,,,
49,06/06/2023 10:28:57,16.04,,,,
50,06/06/2023 10:38:57,15.96,,,,
51,06/06/2023 10:48:57,16.04,,,,
52,06/06/2023 10:58:57,16.00,,,,
53,06/06/2023 11:08:57,16.04,,,,
54,06/06/2023 11:18:57,16.04,,,,
55,06/06/2023 11:28:57,16.04,,,,
56,06/06/2023 11:38:57,16.04,,,,
57,06/06/2023 11:48:57,16.04,,,,
58,06/06/2023 11:58:57,16.04,,,,
59,06/06/2023 12:08:57,16.04,,,,
60,06/06/2023 12:18:57,16.04,,,,
61,06/06/2023 12:28:57,16.04,,,,
62,06/06/2023 12:38:57,16.04,,,,
63,06/06/2023 12:48:57,16.04,,,,
64,06/06/2023 12:58:57,16.04,,,,
65,06/06/2023 13:08:57,16.04,,,,
66,06/06/2023 13:18:57,16.04,,,,
67,06/06/2023 13:28:57,16.13,,,,
68,06/06/2023 13:38:57,16.04,,,,
69,06/06/2023 13:48:57,16.08,,,,
70,06/06/2023 13:58:57,16.04,,,,
71,06/06/2023 14:08:57,16.08,,,,
72,06/06/2023 14:18:57,16.08,,,,
73,06/06/2023 14:28:57,16.04,,,,
74,06/06/2023 14:38:57,16.08,,,,
75,06/06/2023 14:48:57,16.04,,,,
76,06/06/2023 14:58:57,16.04,,,,
77,06/06/2023 15:08:57,16.04,,,,
78,06/06/2023 15:18:57,16.04,,,,
79,06/06/2023 15:28:57,16.04,,,,
80,06/06/2023 15:38:57,16.04,,,,
81,06/06/2023 15:48:57,16.04,,,,
82,06/06/2023 15:58:57,16.04,,,,
83,06/06/2023 16:08:57,16.08,,,,
84,06/06/2023 16:18:57,16.04,,,,
85,06/06/2023 16:28:57,16.04,,,,
86,06/06/2023 16:38:57,16.04,,,,
87,06/06/2023 16:48:57,16.04,,,,
88,06/06/2023 16:58:57,16.04,,,,
89,06/06/2023 17:08:57,16.04,,,,
90,06/06/2023 17:18:57,16.04,,,,
91,06/06/2023 17:28:57,16.04,,,,
92,06/06/2023 17:38:57,16.04,,,,
93,06/06/2023 17:48:57,16.00,,,,
94,06/06/2023 17:58:57,16.04,,,,
95,06/06/2023 18:08:57,16.04,,,,
96,06/06/2023 18:18:57,16.04,,,,
97,06/06/2023 18:28:57,16.04,,,,
98,06/06/2023 18:38:57,16.04,,,,
99,06/06/2023 18:48:57,16.00,,,,
100,06/06/2023 18:58:57,16.00,,,,
101,06/06/2023 19:08:57,16.00,,,,
102,06/06/2023 19:18:57,16.04,,,,
103,06/06/2023 19:28:57,16.04,,,,
104,06/06/2023 19:38:57,16.04,,,,
105,06/06/2023 19:48:57,16.00,,,,
106,06/06/2023 19:58:57,16.04,,,,
107,06/06/2023 20:08:57,16.04,,,,
108,06/06/2023 20:18:57,16.04,,,,
109,06/06/2023 20:28:57,16.00,,,,
110,06/06/2023 20:38:57,15.96,,,,
111,06/06/2023 20:48:57,16.00,,,,
112,06/06/2023 20:58:57,16.04,,,,
113,06/06/2023 21:08:57,16.00,,,,
114,06/06/2023 21:18:57,15.96,,,,
115,06/06/2023 21:28:57,16.00,,,,
116,06/06/2023 21:38:57,16.00,,,,
117,06/06/2023 21:48:57,16.00,,,,
118,06/06/2023 21:58:57,16.00,,,,
119,06/06/2023 22:08:57,16.00,,,,
120,06/06/2023 22:18:57,16.00,,,,
121,06/06/2023 22:28:57,16.00,,,,
122,06/06/2023 22:38:57,16.00,,,,
123,06/06/2023 22:48:57,16.00,,,,
124,06/06/2023 22:58:57,16.04,,,,
125,06/06/2023 23:08:57,16.00,,,,
126,06/06/2023 23:18:57,16.04,,,,
127,06/06/2023 23:28:57,16.00,,,,
128,06/06/2023 23:38:57,16.04,,,,
129,06/06/2023 23:48:57,16.00,,,,
130,06/06/2023 23:58:57,16.04,,,,
131,06/07/2023 00:08:57,16.00,,,,
132,06/07/2023 00:18:57,16.04,,,,
133,06/07/2023 00:28:57,16.00,,,,
134,06/07/2023 00:38:57,16.08,,,,
135,06/07/2023 00:48:57,16.08,,,,
136,06/07/2023 00:58:57,16.04,,,,
137,06/07/2023 01:08:57,16.04,,,,
138,06/07/2023 01:18:57,16.04,,,,
139,06/07/2023 01:28:57,16.04,,,,
140,06/07/2023 01:38:57,16.04,,,,
141,06/07/2023 01:48:57,16.08,,,,
142,06/07/2023 01:58:57,16.04,,,,
