#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Button Down,Button Up,Host Connected,End of File
1,05/03/2023 02:38:48,14.67,,,,
2,05/03/2023 02:48:48,12.35,,,,
3,05/03/2023 02:58:48,10.89,,,,
4,05/03/2023 03:08:48,11.41,,,,
5,05/03/2023 03:18:48,11.54,,,,
6,05/03/2023 03:28:48,11.62,,,,
7,05/03/2023 03:38:48,11.62,,,,
8,05/03/2023 03:48:48,11.54,,,,
9,05/03/2023 03:58:48,11.49,,,,
10,05/03/2023 04:08:48,11.45,,,,
11,05/03/2023 04:18:48,11.37,,,,
12,05/03/2023 04:28:48,11.28,,,,
13,05/03/2023 04:38:48,11.28,,,,
14,05/03/2023 04:48:48,11.15,,,,
15,05/03/2023 04:58:48,10.85,,,,
16,05/03/2023 05:08:48,10.94,,,,
17,05/03/2023 05:18:48,11.19,,,,
18,05/03/2023 05:20:40,,Logged,,,
19,05/03/2023 05:28:48,10.25,,,,
20,05/03/2023 05:38:48,10.16,,,,
21,05/03/2023 05:48:48,10.16,,,,
22,05/03/2023 05:58:48,10.16,,,,
23,05/03/2023 06:08:48,10.16,,,,
24,05/03/2023 06:18:48,10.16,,,,
25,05/03/2023 06:28:48,10.16,,,,
26,05/03/2023 06:38:48,10.16,,,,
27,05/03/2023 06:48:48,10.16,,,,
28,05/03/2023 06:58:48,10.16,,,,
29,05/03/2023 07:08:48,10.16,,,,
30,05/03/2023 07:18:48,10.16,,,,
31,05/03/2023 07:28:48,10.12,,,,
32,05/03/2023 07:38:48,10.16,,,,
33,05/03/2023 07:48:48,10.16,,,,
34,05/03/2023 07:58:48,10.16,,,,
35,05/03/2023 08:08:48,10.12,,,,
36,05/03/2023 08:18:48,10.16,,,,
37,05/03/2023 08:28:48,10.16,,,,
38,05/03/2023 08:38:48,10.16,,,,
39,05/03/2023 08:48:48,10.16,,,,
40,05/03/2023 08:58:48,10.16,,,,
41,05/03/2023 09:08:48,10.16,,,,
42,05/03/2023 09:18:48,10.16,,,,
43,05/03/2023 09:28:48,10.12,,,,
44,05/03/2023 09:38:48,10.16,,,,
45,05/03/2023 09:48:48,10.16,,,,
46,05/03/2023 09:58:48,10.12,,,,
47,05/03/2023 10:08:48,10.12,,,,
48,05/03/2023 10:18:48,10.16,,,,
49,05/03/2023 10:28:48,10.16,,,,
50,05/03/2023 10:38:48,10.12,,,,
51,05/03/2023 10:48:48,10.12,,,,
52,05/03/2023 10:58:48,10.12,,,,
53,05/03/2023 11:08:48,10.16,,,,
54,05/03/2023 11:18:48,10.16,,,,
55,05/03/2023 11:28:48,10.12,,,,
56,05/03/2023 11:38:48,10.16,,,,
57,05/03/2023 11:48:48,10.12,,,,
58,05/03/2023 11:58:48,10.12,,,,
59,05/03/2023 12:08:48,10.12,,,,
60,05/03/2023 12:18:48,10.08,,,,
61,05/03/2023 12:28:48,10.12,,,,
62,05/03/2023 12:38:48,10.08,,,,
63,05/03/2023 12:48:48,10.04,,,,
64,05/03/2023 12:58:48,10.12,,,,
65,05/03/2023 13:08:48,10.08,,,,
66,05/03/2023 13:18:48,10.08,,,,
67,05/03/2023 13:28:48,10.08,,,,
68,05/03/2023 13:38:48,10.12,,,,
69,05/03/2023 13:48:48,10.04,,,,
70,05/03/2023 13:58:48,10.08,,,,
71,05/03/2023 14:08:48,10.08,,,,
72,05/03/2023 14:18:48,10.04,,,,
73,05/03/2023 14:28:48,10.04,,,,
74,05/03/2023 14:38:48,10.08,,,,
75,05/03/2023 14:48:48,10.04,,,,
76,05/03/2023 14:58:48,10.04,,,,
77,05/03/2023 15:08:48,10.04,,,,
78,05/03/2023 15:18:48,10.04,,,,
79,05/03/2023 15:28:48,10.04,,,,
80,05/03/2023 15:38:48,10.08,,,,
81,05/03/2023 15:48:48,10.08,,,,
82,05/03/2023 15:58:48,10.04,,,,
83,05/03/2023 16:08:48,10.04,,,,
84,05/03/2023 16:18:48,10.04,,,,
85,05/03/2023 16:28:48,10.04,,,,
86,05/03/2023 16:38:48,10.08,,,,
87,05/03/2023 16:48:48,10.08,,,,
88,05/03/2023 16:58:48,10.04,,,,
89,05/03/2023 17:08:48,10.08,,,,
90,05/03/2023 17:18:48,10.12,,,,
91,05/03/2023 17:28:48,10.12,,,,
92,05/03/2023 17:38:48,10.12,,,,
93,05/03/2023 17:48:48,10.08,,,,
94,05/03/2023 17:58:48,10.12,,,,
95,05/03/2023 18:08:48,10.12,,,,
96,05/03/2023 18:18:48,10.08,,,,
97,05/03/2023 18:28:48,10.12,,,,
98,05/03/2023 18:38:48,10.12,,,,
99,05/03/2023 18:48:48,10.08,,,,
100,05/03/2023 18:58:48,10.08,,,,
101,05/03/2023 19:08:48,10.08,,,,
102,05/03/2023 19:18:48,10.08,,,,
103,05/03/2023 19:28:48,10.16,,,,
104,05/03/2023 19:38:48,10.12,,,,
105,05/03/2023 19:48:48,10.12,,,,
106,05/03/2023 19:58:48,10.08,,,,
107,05/03/2023 20:08:48,10.08,,,,
108,05/03/2023 20:18:48,10.08,,,,
109,05/03/2023 20:28:48,10.12,,,,
110,05/03/2023 20:38:48,10.16,,,,
111,05/03/2023 20:48:48,10.08,,,,
112,05/03/2023 20:58:48,10.12,,,,
113,05/03/2023 21:08:48,10.12,,,,
114,05/03/2023 21:18:48,10.12,,,,
115,05/03/2023 21:28:48,10.12,,,,
116,05/03/2023 21:38:48,10.12,,,,
117,05/03/2023 21:48:48,10.12,,,,
118,05/03/2023 21:58:48,10.21,,,,
119,05/03/2023 22:08:48,10.16,,,,
120,05/03/2023 22:18:48,10.12,,,,
