Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14999870482439556,24.721202850341793,47315.5625,47580.870722714972,30.961604983645856,1529.3816040546833,1020.3780124621441
0.44999999999999996,0.45000975645710389,24.711024739192084,47302.981850961536,47577.958912671485,30.959293962456456,1529.3591133308032,1020.3805867035911
0.74999999999999989,0.75001679060721138,24.711152459360097,47288.646527563193,47563.41805415057,30.948625104713379,1529.3529793165471,1020.3738009658141
1.05,1.0500232090552,24.712611100820919,47309.128698632921,47582.623051811184,30.962533436337591,1529.3765784923264,1020.3851632624281
1.35,1.350028284587834,24.709948080646711,47299.635994760378,47575.6240159656,30.957325088648474,1529.3694561479804,1020.3833242441333
1.65,1.6500497756121879,24.705346169557235,47092.452221230786,47371.616788048086,30.808748731127107,1529.2032206004687,1020.2738983147386
1.9500000000000002,1.9500668659921923,24.696569579420757,47330.326581683526,47619.309524014825,30.988814171114765,1529.3805071913057,1020.4136484664845
2.25,2.2500618470458003,24.689102579020833,47337.029840285591,47633.210687398983,30.998769906182304,1529.3778827934045,1020.4246733374451
2.55,2.5500538073223842,24.686554052433291,47348.970771548418,47647.670153963518,31.009184028599009,1529.3878590693657,1020.4345869938078
2.85,2.8500432948960661,24.691476286508649,47367.193108545885,47661.285846528757,31.019062917010718,1529.4156505155952,1020.4418836431769
3.15,3.1500270129968762,24.696680203754426,47431.144916635021,47720.637195652911,31.062249460336552,1529.4799958868473,1020.4742271163451
3.4499999999999997,3.4500012558646542,24.707298780038855,47503.400263937823,47783.123836749241,31.107785904028724,1529.5601872485872,1020.5067378979423
3.75,3.7499624650378212,24.700470837869158,47593.357056045868,47880.187303761137,31.178341115559672,1529.6243985039439,1020.5632995430283
4.05,4.0499112262771462,24.674854694739846,47604.794933611833,47916.390723386241,31.204361890819108,1529.5944283304129,1020.5918297458373
4.35,4.3498547007745927,24.649429096799938,47579.115489668555,47915.068063426312,31.203036757835367,1529.5354346093636,1020.5996644595799
4.6499999999999995,4.6497948218307643,24.605182080059329,47539.25067439022,47917.625418313313,31.204329434225947,1529.432809827628,1020.6150394420525
4.9499999999999993,4.94973264770056,24.561655705613457,47473.910975386665,47893.790370293937,31.186391710804706,1529.3110993787313,1020.6156724944406
5.2499999999999991,5.2496711350625844,24.533307919263372,47421.328079886771,47868.121544780523,31.167284950522941,1529.2255057952539,1020.6109260535909
5.55,5.5496098672939116,24.488640753125086,47359.550764239393,47848.910420164204,31.152694987438892,1529.1043392105739,1020.6143944155673
5.85,5.8495468404339865,24.449880591246583,47316.289056888112,47842.672713413842,31.147617035732306,1529.0079190498504,1020.6232859684619
6.1499999999999995,6.1494808853283391,24.425233837993954,47298.367185584939,47848.400010225079,31.151414038563335,1528.9559641821106,1020.6347113294356
6.4499999999999993,6.4494107969501666,24.39810848133056,47286.992186938092,47863.160797755707,31.161758998820272,1528.9048838639881,1020.6518045575216
6.7499999999999991,6.7493384593406649,24.366674422826652,47236.085937175259,47842.0781726121,31.145941643863161,1528.8148181860352,1020.6504076687334
7.0499999999999989,7.0492613843668819,24.339059829571557,47254.398437453143,47887.412732103818,31.178542928654032,1528.7864400031556,1020.6844364099027
7.35,7.3491746192397676,24.281316665761715,47225.373865872971,47914.074806652723,31.197170905981729,1528.66797169197,1020.7167511933237
7.6499999999999995,7.6490820945768352,24.237749763771024,47172.311248306294,47902.586404360351,31.188172496071605,1528.5547723433342,1020.724028140698
7.9499999999999993,7.9489790860308815,24.164862558633843,47178.640582267391,47980.039124488867,31.243580350323839,1528.4378556649672,1020.7885068372482
