Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14993045226360596,24.08426666259766,47237.80859375,48119.093760185824,31.346148487132229,1528.2164853525333,1020.8556622910845
0.44999999999999996,0.44981000096092055,24.073652971707858,47101.069591346153,47990.180819126152,31.251977304317062,1528.0930909865535,1020.7889201045794
0.74999999999999989,0.74970621272808435,24.062971862716289,46964.643216080411,47861.596467793228,31.158088456676939,1527.9698159065513,1020.7224111471019
1.05,1.049622349101923,24.048142973941442,46818.212950575529,47726.794646893519,31.059663197763236,1527.8312201169463,1020.6536834539068
1.35,1.3495661451083891,24.029425636391334,46576.202929392617,47498.213904041892,30.893020817873953,1527.6090390720458,1020.5345570577787
1.65,1.6495535118457227,24.017684318382852,46240.981316775484,47167.651797286111,30.652511685920928,1527.32441904301,1020.3576149494294
1.9500000000000002,1.9495749868985326,24.007707301172296,46126.605645200791,47060.56270061159,30.574518965517363,1527.2200151240411,1020.3029107064151
2.25,2.24957290350283,23.998942433843972,46496.3048920723,47446.233104775056,30.854558160414165,1527.5059955231297,1020.5182745465875
2.55,2.5495174129324378,23.9829300192009,46735.447152782377,47705.850930581808,31.043114193192768,1527.6748575757222,1020.6666684485252
2.85,2.8494147580183591,23.965897517076627,47016.4821032384,48009.415212742315,31.26383307007173,1527.87603105695,1020.8396797787009
3.15,3.149271675066168,23.938735615911934,47157.066739889546,48179.694618588495,31.387456037843471,1527.9467006540849,1020.9422917453551
3.4499999999999997,3.4491124227200265,23.921848248047702,47144.189148312507,48183.164410794583,31.389660385842248,1527.9116916648416,1020.9501693005902
3.75,3.7489507655711072,23.919480069299158,47154.319834956579,48195.851395147634,31.398786455618669,1527.9206550354784,1020.9590568896317
4.05,4.048785872552183,23.912674828818222,47166.222210065564,48214.723867724686,31.412359525115608,1527.923283160922,1020.9725944498338
4.35,4.3486169328721358,23.897356943827955,47167.227155645647,48230.855514164257,31.42381443419286,1527.9022131765403,1020.9870042452473
4.6499999999999995,4.6484440894977217,23.886953626753833,47172.132209161973,48246.135941825793,31.434717902590084,1527.8928932548417,1020.9995688452279
4.9499999999999993,4.9482690693793465,23.87797506500608,47161.521327263406,48244.14397746649,31.433048838047213,1527.8735306412002,1021.0022175997145
5.2499999999999991,5.24809233050483,23.870891590570519,47165.738226804533,48255.450935854227,31.441102074496946,1527.8694642247051,1021.0116633064963
5.55,5.547911350133127,23.852808952601084,47172.3007635749,48280.029106763672,31.458673196212537,1527.8480232984382,1021.0314943244929
5.85,5.8477263367530119,23.827994343962576,47148.097648817136,48279.781181148232,31.458044670480515,1527.7898830626432,1021.0395205141687
6.1499999999999995,6.1475360069963552,23.782439812636628,47130.027056092236,48306.344698121931,31.476657302547387,1527.7002604119521,1021.0680942295936
6.4499999999999993,6.4473353631571362,23.708372114419177,47094.2343739155,48343.059241733674,31.502234472202893,1527.5460243561856,1021.1101646678121
6.7499999999999991,6.7471213718950773,23.62731170569754,47060.9042966156,48389.37486554659,31.534679978416328,1527.3811728798908,1021.1594072741
7.0499999999999989,7.0468867851783843,23.49596118883786,47028.697265549592,48487.230805081985,31.603881450356024,1527.1280879681738,1021.2508706605491
7.35,7.3466201773497657,23.300260066754383,46965.349609360273,48618.1125572107,31.69601327783025,1526.7345995865983,1021.3779942714006
7.6499999999999995,7.6463101977414016,23.012248039123275,46840.857421863046,48780.112715920208,31.808989374210547,1526.1240226225989,1021.5468787812006
7.9499999999999993,7.9459486356323312,22.57641410821682,46528.376953123843,48898.574877134371,31.886778264664194,1525.0852178797875,1021.7300730165416
8.25,8.2455273370044466,21.959330558749876,46030.718749998923,49011.259532768265,31.955121780515523,1523.5438195806612,1021.9547086462472
8.5499999999999989,8.5450548698248,21.577821731557076,45701.110351561823,49058.874645267846,31.980239602898163,1522.560344638355,1022.0795691438718
